Title,Type,Priority,Preconditions,Steps,Expected Result,Section
Print document history and attributes,Regression,2,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Donec placerat, dui vitae facilisis tempor.

# This is a H1
Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Donec placerat, dui vitae facilisis tempor.

* Donec placerat, dui vitae
* Ut auctor mi erat ac dolor.
* Lorem ipsum dolor sit amet, consectetuer adipiscing elit.

## This is a H2
Cras elit. Etiam massa dolor, ornare sit amet, lacinia nec, bibendum ut, magna. Donec a ipsum et massa lobortis ornare:

> Lorem ipsum dolor sit amet,
consectetuer adipiscing elit. Aliquam hendrerit mi posuere lectus.
Vestibulum enim wisi, viverra nec, fringilla in, laoreet vitae, risus.

### This is a H3

1. Donec placerat, dui vitae
2. Ut auctor mi erat ac dolor.
3. Lorem ipsum dolor sit amet, consectetuer adipiscing elit.

Consectetuer adipiscing elit. Aliquam hendrerit mi posuere lectus.
Vestibulum enim wisi, viverra nec, fringilla in, laoreet vitae, risus at http://testrail.com/.

		.pieChart .legendContainer {
			float: left;
			width: 200px;
			height: 180px;
			margin-right: 60px;
		}
		
Lorem ipsum dolor sit amet,
consectetuer adipiscing elit. Aliquam hendrerit mi posuere lectus.
Vestibulum enim wisi, viverra nec, fringilla in, laoreet vitae, risus.

![TestRail](http://www.gurock.com/images/testrail/screenshots/dashboard-short.png)","In vulputate libero **in nulla feugiat tincidunt**:

* Felis libero varius orci, in vulputate
* Massa turpis scelerisque diam.
* Nunc et felis est. Phasellus laoreet nibh vel augue
* Faucibus at varius est pretium.

Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Aenean quis nulla eu dui luctus lobortis. Praesent bibendum.","In vulputate libero **in nulla feugiat tincidunt**. Aenean quis nulla eu dui luctus lobortis. Praesent bibendum, lacus nec mollis eleifend, magna nibh mattis nibh. 

Ac viverra tortor eros sit amet tellus. Massa sodales eget lorem dolor, lorem quam quis eget, tellus vestibulum rutrum:

> Aliquam hendrerit mi posuere lectus. Lorem ipsum dolor sit amet,
consectetuer adipiscing elit. Vestibulum enim wisi, viverra nec,
fringilla in, laoreet vitae, risus.",Documentation & Help
Add new review data point (including note),Functionality,2,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Donec placerat, dui vitae facilisis tempor.

* Donec placerat, dui vitae
* Ut auctor mi erat ac dolor.
* Lorem ipsum dolor sit amet, consectetuer adipiscing elit.

See [C17].

Cras elit. Etiam massa dolor, ornare sit amet, lacinia nec, bibendum ut, magna. Donec a ipsum et massa lobortis ornare:

> Lorem ipsum dolor sit amet,
consectetuer adipiscing elit. Aliquam hendrerit mi posuere lectus.
Vestibulum enim wisi, viverra nec, fringilla in, laoreet vitae, risus.

Cras elit. Etiam massa dolor, ornare sit amet, lacinia nec, bibendum ut, magna. Donec a ipsum et massa lobortis ornare. Vestibulum hendrerit ultricies quam. Vestibulum viverra ultrices **magna**. Phasellus id velit non neque scelerisque tempus. Praesent nisl dui, commodo sed, porttitor nec, mattis consectetuer, ligula.","Aenean quis nulla eu dui luctus lobortis. Praesent bibendum, lacus nec mollis eleifend, magna nibh mattis nibh.
Massa sodales eget lorem dolor, *lorem quam quis eget*, tellus vestibulum rutrum.","In vulputate libero **in nulla feugiat tincidunt**. Aenean quis nulla eu dui luctus lobortis. Praesent bibendum, lacus nec mollis eleifend, magna nibh mattis nibh. 

Ac viverra tortor eros sit amet tellus. Massa sodales eget lorem dolor, lorem quam quis eget, tellus vestibulum rutrum:

> Aliquam hendrerit mi posuere lectus. Lorem ipsum dolor sit amet,
consectetuer adipiscing elit. Vestibulum enim wisi, viverra nec,
fringilla in, laoreet vitae, risus.",Documentation & Help
Add document footer with page numbers and author,Other,5,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Donec placerat, dui vitae facilisis tempor.

# This is a H1
Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Donec placerat, dui vitae facilisis tempor.

* Donec placerat, dui vitae
* Ut auctor mi erat ac dolor.
* Lorem ipsum dolor sit amet, consectetuer adipiscing elit.

## This is a H2
Cras elit. Etiam massa dolor, ornare sit amet, lacinia nec, bibendum ut, magna. Donec a ipsum et massa lobortis ornare:

> Lorem ipsum dolor sit amet,
consectetuer adipiscing elit. Aliquam hendrerit mi posuere lectus.
Vestibulum enim wisi, viverra nec, fringilla in, laoreet vitae, risus.

### This is a H3

1. Donec placerat, dui vitae
2. Ut auctor mi erat ac dolor.
3. Lorem ipsum dolor sit amet, consectetuer adipiscing elit.

Consectetuer adipiscing elit. Aliquam hendrerit mi posuere lectus.
Vestibulum enim wisi, viverra nec, fringilla in, laoreet vitae, risus at http://testrail.com/.

		.pieChart .legendContainer {
			float: left;
			width: 200px;
			height: 180px;
			margin-right: 60px;
		}
		
Lorem ipsum dolor sit amet,
consectetuer adipiscing elit. Aliquam hendrerit mi posuere lectus.
Vestibulum enim wisi, viverra nec, fringilla in, laoreet vitae, risus.

![TestRail](http://www.gurock.com/images/testrail/screenshots/dashboard-short.png)","In vulputate libero **in nulla feugiat tincidunt**:

* Felis libero varius orci, in vulputate
* Massa turpis scelerisque diam.
* Nunc et felis est. Phasellus laoreet nibh vel augue
* Faucibus at varius est pretium.

Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Aenean quis nulla eu dui luctus lobortis. Praesent bibendum.","Massa sodales eget lorem dolor, lorem quam quis eget, tellus vestibulum rutrum, vel auctor vestibulum lectus ligula ut mauris.",Documentation & Help
Add document header with document title,Automated,3,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Donec placerat, dui vitae facilisis tempor.

# This is a H1
Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Donec placerat, dui vitae facilisis tempor.

* Donec placerat, dui vitae
* Ut auctor mi erat ac dolor.
* Lorem ipsum dolor sit amet, consectetuer adipiscing elit.

## This is a H2
Cras elit. Etiam massa dolor, ornare sit amet, lacinia nec, bibendum ut, magna. Donec a ipsum et massa lobortis ornare:

> Lorem ipsum dolor sit amet,
consectetuer adipiscing elit. Aliquam hendrerit mi posuere lectus.
Vestibulum enim wisi, viverra nec, fringilla in, laoreet vitae, risus.

### This is a H3

1. Donec placerat, dui vitae
2. Ut auctor mi erat ac dolor.
3. Lorem ipsum dolor sit amet, consectetuer adipiscing elit.

Consectetuer adipiscing elit. Aliquam hendrerit mi posuere lectus.
Vestibulum enim wisi, viverra nec, fringilla in, laoreet vitae, risus at http://testrail.com/.

		.pieChart .legendContainer {
			float: left;
			width: 200px;
			height: 180px;
			margin-right: 60px;
		}
		
Lorem ipsum dolor sit amet,
consectetuer adipiscing elit. Aliquam hendrerit mi posuere lectus.
Vestibulum enim wisi, viverra nec, fringilla in, laoreet vitae, risus.

![TestRail](http://www.gurock.com/images/testrail/screenshots/dashboard-short.png)","In vulputate libero at http://www.example.com/.

* Donec placerat, dui vitae
* Ut auctor mi erat ac dolor.
* Lorem ipsum dolor sit amet, consectetuer adipiscing elit.","Massa sodales eget lorem dolor, lorem quam quis eget, tellus vestibulum rutrum, vel auctor vestibulum lectus ligula ut mauris.",Documentation & Help
Change document orientation from portrait to landscape mode,Usability,2,"Suspendisse orci nisi, imperdiet a, sollicitudin sit amet, eleifend sed, metus. Nunc placerat odio sit amet turpis. Maecenas cursus ante ac nunc. [T3].

Quisque pellentesque mauris ut nulla convallis placerat. Vivamus vitae massa eget urna elementum porta.","In vulputate libero **in nulla feugiat tincidunt**:

* Felis libero varius orci, in vulputate
* Massa turpis scelerisque diam.
* Nunc et felis est. Phasellus laoreet nibh vel augue
* Faucibus at varius est pretium.

Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Aenean quis nulla eu dui luctus lobortis. Praesent bibendum.","In vulputate libero **in nulla feugiat tincidunt**. Aenean quis nulla eu dui luctus lobortis. Praesent bibendum, lacus nec mollis eleifend, magna nibh mattis nibh. 

Ac viverra tortor eros sit amet tellus. Massa sodales eget lorem dolor, lorem quam quis eget, tellus vestibulum rutrum:

> Aliquam hendrerit mi posuere lectus. Lorem ipsum dolor sit amet,
consectetuer adipiscing elit. Vestibulum enim wisi, viverra nec,
fringilla in, laoreet vitae, risus.",Documentation & Help
Compare print preview of printer driver with actual output,Usability,4,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. **Fusce** faucibus, mauris sit amet rutrum bibendum, dui odio tincidunt nibh, sed semper magna turpis eget magna.","Aenean quis nulla eu dui luctus lobortis. Praesent bibendum, lacus nec mollis eleifend, magna nibh mattis nibh.
Massa sodales eget lorem dolor, *lorem quam quis eget*, tellus vestibulum rutrum.","In vulputate libero **in nulla feugiat tincidunt**. Aenean quis nulla eu dui luctus lobortis. Praesent bibendum, lacus nec mollis eleifend, magna nibh mattis nibh. 

Ac viverra tortor eros sit amet tellus. Massa sodales eget lorem dolor, lorem quam quis eget, tellus vestibulum rutrum:

> Aliquam hendrerit mi posuere lectus. Lorem ipsum dolor sit amet,
consectetuer adipiscing elit. Vestibulum enim wisi, viverra nec,
fringilla in, laoreet vitae, risus.",Documentation & Help
Verify space and indentation calculations of inline tables,Performance,3,"Suspendisse orci nisi, imperdiet a, sollicitudin sit amet, eleifend sed, metus. Nunc placerat odio sit amet turpis. Maecenas cursus ante ac nunc. [T3].

Quisque pellentesque mauris ut nulla convallis placerat. Vivamus vitae massa eget urna elementum porta.","Aenean quis nulla eu dui luctus lobortis:

		h1 {
			font-size: 20px;
			font-weight: bold;
			margin-bottom: 1em;
			margin-top: 0.5em;
		}
		
In vulputate libero **in nulla feugiat tincidunt**. Etiam massa dolor, ornare sit amet, lacinia nec, bibendum ut, magna.","In vulputate libero **in nulla feugiat tincidunt**. Aenean quis nulla eu dui luctus lobortis. Praesent bibendum, lacus nec mollis eleifend, magna nibh mattis nibh. 

Ac viverra tortor eros sit amet tellus. Massa sodales eget lorem dolor, lorem quam quis eget, tellus vestibulum rutrum:

> Aliquam hendrerit mi posuere lectus. Lorem ipsum dolor sit amet,
consectetuer adipiscing elit. Vestibulum enim wisi, viverra nec,
fringilla in, laoreet vitae, risus.",Documentation & Help
Add watermark to document and verify print output,Usability,2,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. **Fusce** faucibus, mauris sit amet rutrum bibendum, dui odio tincidunt nibh, sed semper magna turpis eget magna.","In vulputate libero **in nulla feugiat tincidunt**:

* Felis libero varius orci, in vulputate
* Massa turpis scelerisque diam.
* Nunc et felis est. Phasellus laoreet nibh vel augue
* Faucibus at varius est pretium.

Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Aenean quis nulla eu dui luctus lobortis. Praesent bibendum.","Massa sodales eget lorem dolor, lorem quam quis eget, tellus vestibulum rutrum, vel auctor vestibulum lectus ligula ut mauris.",Documentation & Help > Licensing & Terms
Verify Mail Merge functionality with test database mmdb1,Regression,3,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. **Fusce** faucibus, mauris sit amet rutrum bibendum, dui odio tincidunt nibh, sed semper magna turpis eget magna.","In vulputate libero at http://www.example.com/.

* Donec placerat, dui vitae
* Ut auctor mi erat ac dolor.
* Lorem ipsum dolor sit amet, consectetuer adipiscing elit.","In vulputate libero **in nulla feugiat tincidunt**. Aenean quis nulla eu dui luctus lobortis. Praesent bibendum, lacus nec mollis eleifend, magna nibh mattis nibh. 

Ac viverra tortor eros sit amet tellus. Massa sodales eget lorem dolor, lorem quam quis eget, tellus vestibulum rutrum:

> Aliquam hendrerit mi posuere lectus. Lorem ipsum dolor sit amet,
consectetuer adipiscing elit. Vestibulum enim wisi, viverra nec,
fringilla in, laoreet vitae, risus.",Documentation & Help > Licensing & Terms
Test full screen reading on minimal resolution system,Usability,5,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. **Fusce** faucibus, mauris sit amet rutrum bibendum, dui odio tincidunt nibh, sed semper magna turpis eget magna.","In vulputate libero at http://www.example.com/.

* Donec placerat, dui vitae
* Ut auctor mi erat ac dolor.
* Lorem ipsum dolor sit amet, consectetuer adipiscing elit.","Massa sodales eget lorem dolor, lorem quam quis eget, tellus vestibulum rutrum, vel auctor vestibulum lectus ligula ut mauris.",Documentation & Help > Licensing & Terms
